Event	ID	Name			Wwise Object Path	Notes
	238663194	BulletDrop			\Default Work Unit\BulletDrop	
	674522502	Land			\Default Work Unit\Land	
	678561523	JumpStart			\Default Work Unit\JumpStart	
	823131329	Spin			\Default Work Unit\Spin	
	1097980931	TestEvent			\Default Work Unit\TestEvent	
	1404805401	DoorOpen			\Default Work Unit\DoorOpen	
	1432588725	Select			\Default Work Unit\Select	
	1866025847	FootStep			\Default Work Unit\FootStep	
	2258979263	Buzzer			\Default Work Unit\Buzzer	
	2316563647	MuteMusic			\Default Work Unit\MuteMusic	
	2975448509	GunFire			\Default Work Unit\GunFire	
	3551877634	ReloadClick			\Default Work Unit\ReloadClick	
	3742273957	TargetUp			\Default Work Unit\TargetUp	
	3822001633	TargetHit			\Default Work Unit\TargetHit	
	3827058668	StartMusic			\Default Work Unit\StartMusic	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	90429713	352719__dalesome__woosh-stick-swung-in-the-air	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\352719__dalesome__woosh-stick-swung-in-the-air_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\352719__dalesome__woosh-stick-swung-in-the-air		107748
	135487342	FootStep_03	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\459964__florianreichelt__footsteps-on-concrete_391CC502.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootSteps\FootStep_03		93264
	215537064	FootStep	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\459964__florianreichelt__footsteps-on-concrete_D76F822D.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootSteps\FootStep		53724
	276616868	469077__hawkeye-sprout__jumping-on-bed	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\469077__hawkeye-sprout__jumping-on-bed_50B44F4A.wem		\Actor-Mixer Hierarchy\Default Work Unit\469077__hawkeye-sprout__jumping-on-bed		69772
	359345031	450853__kyles__gun-lee-enfield-303-rifle-clean-shot	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\450853__kyles__gun-lee-enfield-303-rifle-clean-shot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\450853__kyles__gun-lee-enfield-303-rifle-clean-shot		256320
	534246075	136771__otbtechno__wood-on-wood	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\136771__otbtechno__wood-on-wood_0DBAF72E.wem		\Actor-Mixer Hierarchy\Default Work Unit\136771__otbtechno__wood-on-wood		48564
	648394659	BulletDrop2	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\337233__anthousai__bullet-shells-single-consolidated_C885278A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Bullets\BulletDrop2		241240
	682099175	FootStep_04	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\459964__florianreichelt__footsteps-on-concrete_8DB6323F.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootSteps\FootStep_04		84788
	728260742	select	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\select_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\select		9150
	804957345	FootStep_05	C:\Unity Projects\Git Kraken\SpringGameJam\SpringGameJam_WwiseProject\.cache\Windows\SFX\459964__florianreichelt__footsteps-on-concrete_D6575797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootSteps\FootStep_05		59372
